Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1772794803.7282932,961,1772794803,728072712,,0.0,-1.0,-7.0,-32.0,15.0,13.0
1772794803.729365,962,1772794803,729094508,,4.0,-1.0,3.0,-6.0,17.0,9.0
1772794803.7302854,963,1772794803,730077890,,4.0,-1.0,3.0,-6.0,17.0,9.0
1772794803.73122,964,1772794803,731072381,,4.0,-1.0,3.0,-6.0,17.0,9.0
1772794803.7322633,965,1772794803,732078006,,4.0,-2.0,10.0,-13.0,19.0,9.0
1772794803.7332785,966,1772794803,733073079,,4.0,-2.0,10.0,-13.0,19.0,9.0
1772794803.734336,967,1772794803,734066166,,3.0,-2.0,7.0,-19.0,20.0,10.0
1772794803.735233,968,1772794803,735057573,,3.0,-2.0,7.0,-19.0,20.0,10.0
1772794803.7362504,969,1772794803,736061917,,1.0,-3.0,3.0,-21.0,13.0,5.0
1772794803.7372248,970,1772794803,737081379,,1.0,-3.0,3.0,-21.0,13.0,5.0
1772794803.7382612,971,1772794803,738079598,,1.0,-2.0,-1.0,-28.0,4.0,13.0
1772794803.7394056,972,1772794803,739161587,,1.0,-2.0,-1.0,-28.0,4.0,13.0
1772794803.740238,973,1772794803,740094744,,2.0,-2.0,-13.0,-42.0,26.0,12.0
1772794803.7412372,974,1772794803,741074270,,2.0,-2.0,-13.0,-42.0,26.0,12.0
1772794803.7422767,975,1772794803,742083873,,4.0,-2.0,-7.0,-14.0,35.0,13.0
1772794803.7433412,976,1772794803,743078941,,4.0,-2.0,-7.0,-14.0,35.0,13.0
1772794803.7443082,977,1772794803,744078964,,2.0,-3.0,-9.0,-35.0,33.0,9.0
1772794803.7452538,978,1772794803,745077111,,2.0,-3.0,-9.0,-35.0,33.0,9.0
1772794803.7463863,979,1772794803,746085668,,3.0,-3.0,-3.0,-22.0,24.0,13.0
1772794803.7472463,980,1772794803,747063952,,3.0,-3.0,-3.0,-22.0,24.0,13.0
1772794803.7483246,981,1772794803,748065220,,2.0,-3.0,-2.0,-14.0,14.0,13.0
1772794803.749233,982,1772794803,749061772,,2.0,-3.0,-2.0,-14.0,14.0,13.0
1772794803.750357,983,1772794803,750077366,,2.0,-3.0,-2.0,-14.0,14.0,13.0
1772794803.751266,984,1772794803,751078859,,3.0,-2.0,1.0,-19.0,26.0,11.0
1772794803.7522745,985,1772794803,752072679,,3.0,-2.0,1.0,-19.0,26.0,11.0
1772794803.7533653,986,1772794803,753080564,,5.0,-2.0,0.0,-12.0,33.0,9.0
1772794803.754269,987,1772794803,754077669,,5.0,-3.0,2.0,-23.0,30.0,13.0
1772794803.7552145,988,1772794803,755074131,,5.0,-3.0,2.0,-23.0,30.0,13.0
1772794803.7563171,989,1772794803,756078286,,7.0,-3.0,8.0,-3.0,31.0,8.0
1772794803.757244,990,1772794803,757072789,,7.0,-3.0,8.0,-3.0,31.0,8.0
1772794803.7582576,991,1772794803,758077277,,6.0,-3.0,10.0,5.0,33.0,13.0
1772794803.759254,992,1772794803,759077293,,8.0,-4.0,5.0,-13.0,30.0,7.0
1772794803.7602873,993,1772794803,760075016,,8.0,-4.0,5.0,-13.0,30.0,7.0
1772794803.7613025,994,1772794803,761069869,,8.0,-4.0,5.0,-13.0,30.0,7.0
1772794803.762359,995,1772794803,762062588,,5.0,0.0,-3.0,-7.0,20.0,11.0
1772794803.7632945,996,1772794803,763063098,,4.0,-3.0,1.0,9.0,12.0,9.0
1772794803.764357,997,1772794803,764057674,,4.0,-3.0,1.0,9.0,12.0,9.0
1772794803.7653203,998,1772794803,765079243,,4.0,-3.0,1.0,9.0,12.0,9.0
1772794803.7662547,999,1772794803,766075729,,4.0,-3.0,1.0,9.0,12.0,9.0
1772794803.7672915,1000,1772794803,767092912,,2.0,-1.0,3.0,-6.0,11.0,7.0
1772794803.7683725,1001,1772794803,768088096,,2.0,-1.0,-1.0,-4.0,24.0,12.0
1772794803.7692568,1002,1772794803,769084893,,2.0,-1.0,-1.0,-4.0,24.0,12.0
1772794803.7702904,1003,1772794803,770095997,,2.0,-3.0,2.0,-3.0,22.0,13.0
1772794803.7713132,1004,1772794803,771093868,,1.0,-2.0,8.0,2.0,15.0,20.0
1772794803.7722013,1005,1772794803,772083318,,1.0,-2.0,8.0,2.0,15.0,20.0
1772794803.7733068,1006,1772794803,773089082,,1.0,-2.0,8.0,2.0,15.0,20.0
1772794803.7742286,1007,1772794803,774091911,,2.0,-3.0,2.0,-2.0,20.0,16.0
1772794803.7752469,1008,1772794803,775093833,,2.0,-3.0,2.0,-2.0,17.0,13.0
1772794803.7762973,1009,1772794803,776063337,,2.0,-3.0,2.0,-2.0,17.0,13.0
1772794803.7773793,1010,1772794803,777066180,,2.0,-3.0,2.0,-2.0,17.0,13.0
1772794803.7782257,1011,1772794803,778067450,,1.0,-1.0,-4.0,-35.0,24.0,8.0
1772794803.7793174,1012,1772794803,779080882,,1.0,-1.0,-4.0,-35.0,24.0,8.0
1772794803.780375,1013,1772794803,780084535,,1.0,-1.0,-4.0,-35.0,24.0,8.0
1772794803.7813141,1014,1772794803,781089920,,3.0,-3.0,-6.0,-29.0,24.0,5.0
1772794803.7823646,1015,1772794803,782086776,,3.0,-3.0,-6.0,-29.0,24.0,5.0
1772794803.7833703,1016,1772794803,783089297,,1.0,-2.0,-2.0,-28.0,13.0,5.0
1772794803.78427,1017,1772794803,784091606,,3.0,-1.0,4.0,-5.0,9.0,14.0
1772794803.7852395,1018,1772794803,785086035,,3.0,-1.0,4.0,-5.0,9.0,14.0
1772794803.7863472,1019,1772794803,786085486,,2.0,-4.0,0.0,-26.0,30.0,6.0
1772794803.7872975,1020,1772794803,787088359,,2.0,-4.0,0.0,-26.0,30.0,6.0
1772794803.788261,1021,1772794803,788089570,,3.0,-3.0,7.0,-29.0,19.0,9.0
1772794803.7893872,1022,1772794803,789082932,,3.0,-3.0,7.0,-29.0,19.0,9.0
1772794803.7903275,1023,1772794803,790092221,,4.0,-2.0,2.0,-24.0,26.0,9.0
1772794803.79134,1024,1772794803,791069562,,4.0,-2.0,2.0,-24.0,26.0,9.0
1772794803.792425,1025,1772794803,792075654,,6.0,-2.0,2.0,-22.0,19.0,15.0
1772794803.7933662,1026,1772794803,793069438,,6.0,-2.0,2.0,-22.0,19.0,15.0
1772794803.794365,1027,1772794803,794085198,,6.0,-2.0,2.0,-22.0,19.0,15.0
1772794803.7953677,1028,1772794803,795095822,,5.0,-2.0,2.0,-4.0,25.0,16.0
1772794803.7963045,1029,1772794803,796085325,,5.0,-2.0,2.0,-4.0,25.0,16.0
1772794803.7973564,1030,1772794803,797095191,,3.0,-1.0,5.0,-7.0,19.0,15.0
1772794803.7982464,1031,1772794803,798091241,,1.0,-3.0,7.0,-4.0,1.0,14.0
1772794803.7993774,1032,1772794803,799091399,,1.0,-3.0,7.0,-4.0,1.0,14.0
1772794803.8003674,1033,1772794803,800087409,,2.0,0.0,10.0,0.0,7.0,17.0
1772794803.8014379,1034,1772794803,801083117,,2.0,0.0,10.0,0.0,7.0,17.0
1772794803.8023343,1035,1772794803,802071474,,2.0,1.0,0.0,-12.0,15.0,15.0
1772794803.8033323,1036,1772794803,803085808,,2.0,1.0,0.0,-12.0,15.0,15.0
1772794803.804384,1037,1772794803,804072304,,0.0,-2.0,-6.0,-18.0,6.0,8.0
1772794803.8052883,1038,1772794803,805067831,,3.0,-1.0,-6.0,-15.0,2.0,11.0
1772794803.8062942,1039,1772794803,806063271,,3.0,-1.0,-6.0,-15.0,2.0,11.0
1772794803.807376,1040,1772794803,807065279,,3.0,-1.0,-6.0,-15.0,2.0,11.0
1772794803.8083105,1041,1772794803,808082133,,3.0,-1.0,-6.0,-15.0,2.0,11.0
1772794803.8094923,1042,1772794803,809087229,,2.0,-2.0,3.0,-21.0,-3.0,13.0
1772794803.810537,1043,1772794803,810082088,,3.0,-4.0,0.0,-37.0,21.0,9.0
1772794803.8114207,1044,1772794803,811085274,,3.0,-4.0,0.0,-37.0,21.0,9.0
1772794803.8124201,1045,1772794803,812082279,,3.0,-2.0,-3.0,-21.0,28.0,9.0
1772794803.8134294,1046,1772794803,813078681,,3.0,-2.0,-3.0,-21.0,28.0,9.0
1772794803.814371,1047,1772794803,814090698,,5.0,-4.0,2.0,-1.0,27.0,6.0
1772794803.8154204,1048,1772794803,815084809,,5.0,-4.0,2.0,-1.0,27.0,6.0
1772794803.8164186,1049,1772794803,816091481,,5.0,-5.0,-3.0,-14.0,30.0,4.0
1772794803.817409,1050,1772794803,817082995,,5.0,-5.0,-3.0,-14.0,30.0,4.0
1772794803.818439,1051,1772794803,818089511,,5.0,-4.0,11.0,32.0,17.0,8.0
1772794803.8194444,1052,1772794803,819065472,,5.0,-4.0,11.0,32.0,17.0,8.0
1772794803.8203306,1053,1772794803,820065854,,4.0,-2.0,7.0,24.0,12.0,6.0
1772794803.821402,1054,1772794803,821066146,,4.0,-2.0,7.0,24.0,12.0,6.0
1772794803.8224506,1055,1772794803,822068786,,5.0,-2.0,8.0,18.0,12.0,9.0
1772794803.8233979,1056,1772794803,823085119,,5.0,-2.0,8.0,18.0,12.0,9.0
1772794803.824504,1057,1772794803,824087329,,3.0,-3.0,-4.0,-24.0,32.0,11.0
1772794803.825504,1058,1772794803,825084245,,3.0,-3.0,-4.0,-24.0,32.0,11.0
1772794803.8263633,1059,1772794803,826080957,,3.0,-3.0,-4.0,-24.0,32.0,11.0
1772794803.8274229,1060,1772794803,827089100,,4.0,-3.0,-3.0,-31.0,37.0,15.0
1772794803.8284426,1061,1772794803,828084875,,1.0,-4.0,-1.0,-12.0,25.0,7.0
1772794803.8293214,1062,1772794803,829082530,,1.0,-4.0,-1.0,-12.0,25.0,7.0
1772794803.8304203,1063,1772794803,830088316,,1.0,-1.0,-1.0,-23.0,12.0,6.0
1772794803.8314364,1064,1772794803,831084478,,1.0,-1.0,-1.0,-23.0,12.0,6.0
1772794803.8323636,1065,1772794803,832079743,,1.0,-3.0,0.0,-9.0,14.0,12.0
1772794803.8333693,1066,1772794803,833067488,,1.0,-3.0,0.0,-9.0,14.0,12.0
1772794803.83442,1067,1772794803,834081627,,1.0,-2.0,4.0,-1.0,14.0,15.0
1772794803.8353522,1068,1772794803,835061069,,1.0,-2.0,4.0,-1.0,14.0,15.0
1772794803.8362887,1069,1772794803,836065538,,4.0,-1.0,2.0,-20.0,34.0,11.0
1772794803.837451,1070,1772794803,837065105,,4.0,-1.0,2.0,-20.0,34.0,11.0
1772794803.8384123,1071,1772794803,838082402,,4.0,-1.0,2.0,-20.0,34.0,11.0
1772794803.8393755,1072,1772794803,839091308,,2.0,-2.0,-1.0,-16.0,29.0,7.0
1772794803.8404965,1073,1772794803,840083022,,2.0,-2.0,-1.0,-16.0,29.0,7.0
1772794803.8414092,1074,1772794803,841090610,,1.0,-2.0,2.0,-15.0,16.0,3.0
1772794803.8424156,1075,1772794803,842085633,,0.0,0.0,4.0,-22.0,12.0,10.0
1772794803.843332,1076,1772794803,843086266,,0.0,0.0,4.0,-22.0,12.0,10.0
1772794803.8443134,1077,1772794803,844084613,,1.0,0.0,6.0,-20.0,16.0,9.0
1772794803.845424,1078,1772794803,845084973,,1.0,0.0,6.0,-20.0,16.0,9.0
1772794803.846324,1079,1772794803,846088035,,1.0,-1.0,0.0,-18.0,12.0,8.0
1772794803.8474083,1080,1772794803,847083234,,1.0,-1.0,0.0,-18.0,12.0,8.0
1772794803.8484595,1081,1772794803,848086707,,1.0,-2.0,-1.0,-31.0,29.0,3.0
1772794803.8493981,1082,1772794803,849065558,,2.0,-2.0,3.0,-13.0,17.0,2.0
1772794803.8503537,1083,1772794803,850063792,,2.0,-2.0,3.0,-13.0,17.0,2.0
1772794803.8513548,1084,1772794803,851065195,,2.0,-2.0,3.0,-13.0,17.0,2.0
1772794803.8523765,1085,1772794803,852067491,,1.0,-1.0,-1.0,-8.0,14.0,9.0
1772794803.8533356,1086,1772794803,853083729,,1.0,-1.0,-1.0,-8.0,14.0,9.0
1772794803.8543973,1087,1772794803,854083522,,1.0,-1.0,-1.0,-8.0,14.0,9.0
1772794803.8553886,1088,1772794803,855087649,,1.0,-2.0,1.0,-6.0,9.0,10.0
1772794803.8563192,1089,1772794803,856082611,,1.0,-2.0,1.0,-6.0,9.0,10.0
1772794803.8574245,1090,1772794803,857090037,,1.0,-2.0,2.0,3.0,19.0,7.0
1772794803.8585,1091,1772794803,858081593,,2.0,-2.0,-1.0,-10.0,19.0,6.0
1772794803.8593843,1092,1772794803,859079388,,2.0,-2.0,-1.0,-10.0,19.0,6.0
1772794803.8604553,1093,1772794803,860084725,,4.0,-3.0,0.0,-13.0,35.0,5.0
1772794803.8615096,1094,1772794803,861086029,,4.0,-3.0,0.0,-13.0,35.0,5.0
1772794803.8623412,1095,1772794803,862088075,,2.0,-2.0,-5.0,-31.0,42.0,5.0
1772794803.863418,1096,1772794803,863082098,,0.0,-3.0,-9.0,-31.0,26.0,11.0
1772794803.8642879,1097,1772794803,864062576,,0.0,-3.0,-9.0,-31.0,26.0,11.0
1772794803.8653724,1098,1772794803,865062207,,0.0,-3.0,-9.0,-31.0,26.0,11.0
1772794803.866273,1099,1772794803,866065244,,3.0,-2.0,5.0,21.0,15.0,15.0
1772794803.867252,1100,1772794803,867066203,,3.0,-4.0,6.0,-5.0,18.0,10.0
1772794803.868224,1101,1772794803,868089450,,3.0,-4.0,6.0,-5.0,18.0,10.0
1772794803.8692274,1102,1772794803,869089931,,3.0,-4.0,6.0,-5.0,18.0,10.0
